Id,SalePrice
1461,112480.61151321838
1462,146069.7101938317
1463,185451.20809627487
1464,192442.4941445212
1465,213138.74133148673
1466,172241.5805920132
1467,177652.49486770807
1468,163339.66053548362
1469,198746.36238810164
1470,114275.02713639708
1471,174458.42484140722
1472,96333.4780404598
1473,96536.91187472944
1474,145369.39874485764
1475,107957.92143050348
1476,369361.4681230297
1477,269483.6079098522
1478,260021.02150211832
1479,276414.76153734187
1480,471734.64693884435
1481,320799.0339604863
1482,214757.37487060274
1483,173881.95551324286
1484,166842.0077006719
1485,179903.8724786858
1486,191266.49369896646
1487,329298.02511954773
1488,238926.30824969104
1489,208718.9195874452
1490,251210.18226602022
1491,209655.893639819
1492,96313.0179059538
1493,194067.13198103406
1494,292114.7330717421
1495,290793.97595692193
1496,243268.42651321949
1497,174923.77505776542
1498,179120.69957461022
1499,153062.76253924123
1500,145324.23074848298
1501,188392.65517727146
1502,130092.3275491842
1503,285674.9149875741
1504,241528.93057575682
1505,231225.52580060158
1506,187392.52956882026
1507,266139.5283088598
1508,201342.55562908552
1509,151194.88369372115
1510,147727.48580785026
1511,166017.71296759252
1512,184076.60631409683
1513,150144.63582483097
1514,172301.94910350977
1515,218143.6403740244
1516,154617.3326554813
1517,173653.13966886722
1518,118802.89436296793
1519,222503.59976254008
1520,132129.78433349053
1521,133107.26982880454
1522,186062.75184145174
1523,111365.55798489018
1524,117492.26846277271
1525,121052.54680972965
1526,120018.59941781359
1527,109620.64345526136
1528,128842.08263689117
1529,152169.03849231126
1530,213554.42797929933
1531,129057.78100196063
1532,97986.4537187065
1533,161081.17112805112
1534,131848.38777362765
1535,157705.3015818547
1536,95583.68273813627
1537,53114.559764677426
1538,162090.76402614266
1539,210738.4779116765
1540,122100.86868269485
1541,131219.08369907388
1542,157752.28996573226
1543,200948.37516787392
1544,85485.72760976315
1545,132625.62995328568
1546,142718.17078980734
1547,140883.85095391632
1548,147488.3366780295
1549,125836.61000666535
1550,147134.0515578068
1551,115691.60550365993
1552,153609.93378978455
1553,152753.61744080042
1554,122976.27657111408
1555,164290.0790249277
1556,68610.78636132204
1557,144968.12482099095
1558,93830.08034220501
1559,58771.37312699924
1560,128030.31508367509
1561,145976.20519737946
1562,126122.79383664834
1563,124104.65747092478
1564,176170.7509896818
1565,146566.60627543763
1566,235938.02084469376
1567,68212.95500290347
1568,238280.66079578944
1569,121924.73954552505
1570,136316.33300251001
1571,92048.82536711614
1572,153264.06587996962
1573,263220.7765778757
1574,128084.41406093212
1575,236084.6866782906
1576,237802.06779342913
1577,177313.9250045491
1578,156783.40820592246
1579,155754.78731131833
1580,192352.98927097558
1581,147816.57321565924
1582,134915.2895689793
1583,284571.16660340177
1584,226595.4538982429
1585,140789.59193726536
1586,66704.92424998386
1587,109293.49233264918
1588,151248.68930451502
1589,98440.07835250837
1590,131939.6718784757
1591,85254.13391315588
1592,122439.93290880462
1593,128915.8131046521
1594,148304.3352432719
1595,116282.18247785373
1596,232483.8378268131
1597,200049.2394777881
1598,207804.6689720084
1599,191385.897101335
1600,180267.66241696593
1601,60928.09540778282
1602,123032.88227247377
1603,35536.12563208677
1604,254243.96584014944
1605,237631.50203516008
1606,159689.88368416205
1607,170321.24522762746
1608,202931.36480019637
1609,198323.98007215955
1610,157888.68419604702
1611,125553.31386232236
1612,177028.52649821318
1613,170356.13150566164
1614,131948.32754977
1615,83676.54016540921
1616,62832.556907207705
1617,83976.01092094672
1618,134366.4717782382
1619,143151.88826669613
1620,192603.1416686559
1621,133966.77823114372
1622,153230.03783137444
1623,279140.35224128026
1624,218655.00651268288
1625,116528.68440618133
1626,169548.57861588872
1627,187418.0146529826
1628,269538.6344367629
1629,175820.46620119666
1630,367990.0935053262
1631,262636.6907027776
1632,250975.01842289115
1633,174185.08664459595
1634,184788.22628713865
1635,171732.9608768518
1636,143307.43212524615
1637,189579.26698238403
1638,186082.2106211083
1639,183983.0755167678
1640,237606.42578103323
1641,184558.33195348014
1642,232493.9525490345
1643,232784.01000988088
1644,230756.50633463357
1645,206388.14794194396
1646,152537.98034885223
1647,149223.72315798188
1648,123694.1798596466
1649,126080.60098174005
1650,115550.27582434798
1651,112646.09626222565
1652,99229.45731041091
1653,101312.76526723919
1654,141170.39058776246
1655,130920.1020836581
1656,142244.3722945589
1657,154030.25598589843
1658,146677.3077556747
1659,124474.82236668537
1660,143118.5784344566
1661,394598.59187569865
1662,367611.7013517958
1663,379993.6400506126
1664,469039.9328040916
1665,317615.3154723423
1666,318162.24741780525
1667,361048.03150999476
1668,357349.36427552486
1669,306043.7657611533
1670,357815.865760796
1671,293004.90639712126
1672,390277.8202843338
1673,303497.85482646804
1674,259284.40467479592
1675,217396.00010797242
1676,223698.84809562517
1677,226070.10328752897
1678,465058.8768662738
1679,359700.54336321075
1680,337082.86703534285
1681,271608.48250144185
1682,313732.34703415167
1683,200384.16904198425
1684,172126.78840098414
1685,179001.04950997792
1686,166890.78729141178
1687,162306.1348558755
1688,181216.81108986307
1689,188080.35969199962
1690,192921.58460400812
1691,178992.673959353
1692,237091.26344574243
1693,164774.49933325918
1694,182554.91850064998
1695,166285.11827445915
1696,266137.61114981095
1697,173652.54236555193
1698,343812.29390234477
1699,332691.30236064084
1700,279492.20642974577
1701,283125.1896727993
1702,211203.28437169502
1703,216989.42686175136
1704,285921.1821285547
1705,241755.11528619984
1706,388266.81827965216
1707,219097.95617481298
1708,207841.4375937616
1709,253829.09736752813
1710,219889.1344171546
1711,259111.55908627692
1712,268241.5540582044
1713,268089.84598681796
1714,219796.64835485676
1715,210308.93897850672
1716,185625.73629410937
1717,173108.37283578492
1718,144816.61778955627
1719,217612.92318315897
1720,235848.44159802888
1721,148529.4617758817
1722,109134.0451286328
1723,147960.0478974562
1724,220987.90200638445
1725,246469.19100925163
1726,184849.37072864245
1727,137824.09258774924
1728,146440.00762094557
1729,173375.12106176582
1730,171899.14761769352
1731,112276.79843897093
1732,127860.59791757236
1733,120610.75848734798
1734,119779.80146370735
1735,89999.80631210632
1736,98763.09460968128
1737,301423.1178203239
